question,answer
질문을 잘 못하겠어요. 부끄럽고 눈치 보여요.,"질문은 모르는 걸 묻는 것이 아니라, 공유 가능한 사고의 흔적입니다. 실행 방법: 1. 실습 중 막히면 질문 후보 태그 달기 → 수업 끝난 뒤 정제해서 공유 2. 질문 포맷 고정: 문제상황 → 내가 시도한 방법 → 막힌 지점 요약 3. 자주 했던 질문 모음집을 따로 정리해두기."
입교 초기에 가장 힘들었던 점은?,"과도한 학습량, 프로그래밍 난이도, 새로운 환경 적응, 정보 부족 등이 주요 어려움이었습니다."
초기 어려움을 극복하기 위해 어떤 루틴을 사용했나요?,"계획적인 루틴, ChatGPT 등 도구 활용, 스터디 참여, 꾸준한 실습과 회고가 도움이 되었습니다."
입교 초기에 알았더라면 좋았을 꿀팁은?,"Cursor 등 생산성 도구, 운동 루틴, 시간 관리 방법, 캠퍼스 시설 활용법 등이 유용한 정보였습니다."
입교 초기에 기억에 남는 작은 성공은 무엇인가요?,"처음 문제를 해결한 경험, 팀 과제 수행, GPT 도구 성공적 활용 등에서 성취감을 느꼈습니다."
프리코스 강의는 누가 들을 수 있나요?,HRD-Net에 등록 완료된 수강생만 수강할 수 있습니다.
"지각이나 조퇴, 결석은 어떻게 처리되나요?","HRD 어플에서 출결 내역을 직접 확인할 수 있으며, 모든 지각·조퇴·결석은 기록됩니다."
출석 체크는 어떻게 해야 하나요?,수업 시작 전 비콘으로 HRD 어플에서 입실 체크해야 합니다.
OT에서는 어떤 내용을 안내하나요?,"OT에서는 커리큘럼, 교육 방식, 네트워킹 등을 안내합니다."
노트북 대여 신청은 어떻게 하나요?,입과 전 필수조사 구글 폼을 통해 신청할 수 있습니다.
왜 본인 사진을 제출해야 하나요?,지정 좌석제 운영을 위한 본인 확인용입니다.
재해보험은 왜 가입해야 하나요?,훈련 중 사고 발생 시 보상받기 위해 직업훈련생 재해보험 가입이 필요합니다.
스터디 그룹은 어떻게 운영되나요?,"예·복습, 자격증, 코딩테스트 중심으로 자율 참여 스터디가 구성됩니다."
단위 프로젝트는 어떻게 구성되나요?,"교육 단위마다 팀을 나누고, 정해진 기간 동안 프로젝트를 수행합니다."
블로그 회고는 어떻게 작성하나요?,주차별 학습 내용을 블로그에 기록하고 회고 시트에 링크를 제출합니다.
인프런 강의는 언제부터 수강 가능한가요?,성취도 평가 결과에 따라 인프런 강의가 개별 배정되며 무제한 수강 가능합니다.
고용형태 변경 서류는 누가 제출해야 하나요?,재직 중이었던 수강생은 퇴사 확인서나 폐업 증명서 등을 제출해야 합니다.
"훈련장려금은 언제, 어떻게 신청하나요?",단위기간 종료 후 라운지에서 서명하면 출석률 기준으로 지급됩니다.
만족도 조사는 어떤 목적이며 어떻게 제출하나요?,교육 개선을 위해 주기적으로 실시되며 구글폼 링크로 제출합니다.
캠퍼스 운영 시간이 변경되면 어떻게 확인하나요?,디스코드 공지와 매니저 안내 메시지를 통해 확인할 수 있습니다.
LLM 수업에서 GPT나 Runpod 비용은 어떻게 지원받나요?,수강생이 먼저 결제 후 구글 폼에 증빙 제출하면 실비로 환급됩니다.
병가 승인 기준은 어떻게 되나요?,"병명이 명시된 진단서가 필요하며, 고용센터 기준에 따라 승인 여부가 결정됩니다."
출입카드는 왜 필요하고 분실 시 어떻게 하나요?,"출입 및 출결 확인용이며, 분실 시 매니저에게 재발급 요청해야 합니다."
와이파이 연결이 안될 때 어떻게 하나요?,대체 와이파이 ID와 비밀번호를 공지에 따라 입력해 사용합니다.
"하루에 지각하고 조퇴를 중복되게 했어요. 어떻게 처리되나요?","모든 지각,조퇴,외출 등은 누적 횟수가 적용됩니다. ex) 오전에 지각하고 오후에 조퇴를 한다면 총 2회 입니다. 출결기준 출석 : 정규수업시간(8시간)의 100%를 수강한 경우 결석 : 정규수업시간(8시간)의 50%(4시간) 미만을 수강한 경우 지각/조퇴/외출 : 정규수업시간(8시간)의 50% 이상 100% 미만을 수강한 경우 단위기간(1개월) 내 지각/조퇴/외출 3회는 1일 결석으로 처리 단위기간(1개월) 내 출석이 50% 미만일 경우 제적 전체기간(6개월/120일) 내 출석이 80% 미만일 경우 제적"
"사용 가능한 병가 개수는 어떻게 되나요?","SK네트웍스 Family AI 캠프에서 사용 가능한 병가는 다음과 같습니다: 1. 병가 발생: 한 단위기간 내에 10%(2일) 사용 가능 2. 누적 방식: 미사용 시 다음 단위기간으로 누적됨 3. 총 병가: 6개월 과정 동안 12개 발생 및 사용 가능 4. 사용 절차: - 사전 신청: 가능한 경우 미리 매니저에게 알림 - 갑작스런 병가: 당일 오전 8시까지 디스코드로 알림 - 증빙 제출: 진료확인서 또는 처방전 사본 필수 제출 5. 주의사항: - 병가일의 경우에도 과제는 제출해야 합니다 - 3일 이상 연속 병가는 별도 면담이 필요합니다 적절한 병가 사용은 학습 효율성을 높이는 데 도움이 됩니다."
"병원에서 진료확인서 발급 받았을 때 반드시 확인해야 하는 사항에는 무엇이 있나요?","진료확인서에는 (이름, 병명, 내원일자, 직인(프린트 도장X)) 꼭 확인해주세요. 미기입 시 출석으로 인정 받으실 수 없습니다."
"예비군,민방위 등 국가 의무 훈련의 출결 처리는 어떻게 되나요?","훈련기간 동안은 공가처리로 증빙서류 제출 시 정상 출석으로 인정 되십니다. 출결 처리 방법 슬랙으로 훈련일 2일 전에 담당 매니저님께 훈련일자 : 0000.00.00~0000.00.00 민방위 or 예비군 훈련 예정 DM발송 2-1. 훈련 종료 이후 현장에서 훈련 교육 필증 수령 후 담당매니저에게 제출 2-2-1. 훈련 종료 후 각 훈련 홈페이지 접속 - 예비군 : https://www.yebigun1.mil.kr/ - 민방위 : 민방위 사이버교육 (kcmes.or.kr) 2-2-2. 훈련 교육필증 출력(용지 or PDF파일)해서 다음날 담당 매니저님께 제출"
"국가 시험의 경우 출결 처리는 어떻게 되나요?","훈련과정과 관련있는 시험의 경우 증빙서류 제출 시 정상 출석으로 인정 되십니다. 슬랙으로 훈련일 2일 전에 담당 매니저님께 시험일자 : 0000.00.00 0000 시험 예정 DM발송 응시확인서를 출력하여 제출해주시면 됩니다. *출석으로 인정 받을 수 있는 시험"
"훈련과정 관련 해커톤 참여시 출결 처리는 어떻게 되나요?","고용노동부에서 주관하는 대회로 인한 결석의 경우 증빙서류 제출 시 정상 출석으로 인정 되십니다. 슬랙으로 훈련일 2일 전에 담당 매니저님께 대회일자 : 0000.00.00~0000.00.00 0000 대회 참여 예정 DM발송 참여확인서를 출력하여 제출해주시면 됩니다. 정보처리기능사, 기사. 기술사 등"
"공가 사용 시 증빙자료는 어떤 서류가 필요한가요?","출석 인정이 가능한 공가에는 훈련 및 시험 / 면접 / 예비군 / 병가 / 휴가 등이 있습니다. 공가 사용 시 사전에 매니저에게 일정을 공유하고 다음 날 출석 시 인포에 증빙서류 제출과 출석입력대장에 서명하면 됩니다. 캠퍼스 운영 시간 ⏰ 캠퍼스 오픈시간 : 오전 8:30 ~ 오후 21:50 🐼 공식 오픈 시간은 오전 8:30이나, 일찍 출근한 직원이 있는 경우 미리 열어드릴 수 있습니다. 캠퍼스 음식물 섭취(외부 휴게실 사용) 관련 내용 ❌ 세면대, 변기에 음식물 폐기 절대 금지 센터 건물 배수시설이 약한 관계로 컵라면, 떡볶이 등 국물과 건더기가 발생할 수 있는 음식은 취식 금지입니다. 배달음식(치킨 무, 피클 등)을 지양해주시고 샌드위치나 김밥류, 도시락 등 간편식 위주로 부탁드립니다. 남은 음식은 버릴 곳이 없으니 가져가 주시기 바랍니다. 음식으로 인하여 변기 및 세면대가 막힐 경우 취식이 금지될 수 있습니다. 강의실 밖 라운지 사용 시간 및 방법 🚫 수업 시간에는 사용 불가(매 시간 정시 ~ 50분 까지) 🆗 수업 이외의 시간에는 가능합니다. (18:00 이후) G밸리 캠퍼스 흡연 관련 안내 G밸리 캠퍼스는 외부 1층 혹은 18층 옥상에서 흡연공간이 있습니다. 흡연으로 인한 불시 단속 및 벌금은 센터에서 책임이 아닌, 개인 책임 입니다. 💸 훈련 장려금 및 국민취업지원제도"
"훈련 장려금 지급일은 언제인가요?","훈련 장려금은 단위 기간 별 신청을 합니다. 단위 기간이란? (10월 30일 개강 시 ) → ex. 10월 30일 ~ 11월 29일, 11월 30일 ~ 12월 29일 훈련 비용 신청 프로세스 → 단위 기간 모든 출석 증빙 자료 수강생 제출 완료(병가, 휴가, 경조사 등) → 출석 입력 요청 공문 고용 노동부 발송(1주일 소요) → 출석 입력 완료 시 비용 신청 서명 및 공문 발송(1주일 소요) → 비용 지급(1주일 소요) (빠른 비용 지급을 위해서는 단위 기간 마지막 발생한 출석 증빙 자료를 빠르게 제출해주세요. 모든 훈련생 출석 증빙이 끝난 후 비용 신청이 가능합니다.)"
"국민 취업 지원 제도의 조건과 신청하는 방법은 어떻게 되나요?","국민취업지원제도 사이트에서 신청이 가능합니다. https://www.kua.go.kr/uaptm010/selectMain.do *정기적인 상담을 진행하기 때문에 담당 운영기관이 플레이데이터 센터와 거리가 멀어질 경우 외출 처리가 아닌 결석으로 처리되는 경우가 많습니다. 거주하고 있는 곳이 플레이데이터 센터와 거리가 멀 경우 출석 관리를 고려한다면, 센터 근처에 있는 운영기관을 선택하시는 것을 추천드립니다. 신청 조건은 아래 이미지를 참고 부탁드리겠습니다. (자세한 상담이 필요할 경우 고용부 콜센터 1350으로 전화 주시면 됩니다.)"
"부트캠프 일정은 어떻게 되나요?","SK네트웍스 Family AI 캠프 10기의 전체 일정은 다음과 같습니다: 1. 교육 기간: 2025년 1월 ~ 2025년 6월(총 6개월) 2. 교육 시간: 평일 오전 9시 ~ 오후 6시(8시간) 3. 교육 장소: SK네트웍스 역삼 캠퍼스 4. 주요 일정: - 1월: 기초 Python 및 데이터 분석 - 2월: 머신러닝 기초 및 프레임워크 - 3월: 딥러닝 이론 및 실습 - 4월: 자연어처리 및 컴퓨터비전 - 5월: 팀 프로젝트 진행 - 6월: 최종 프로젝트 및 취업 연계 자세한 일정은 강의실 내 공지사항과 Google Calendar를 통해 확인할 수 있습니다."
"과제는 어떻게 제출하나요?","SK네트웍스 Family AI 캠프의 과제 제출 방법은 다음과 같습니다: 1. 제출 플랫폼: GitHub 개인 레포지토리 활용 2. 제출 방법: - 각 과제별 지정된 폴더에 코드 업로드 - 필수 파일: README.md(과제 설명), 소스코드, 결과물 - 커밋 메시지에 과제명과 완료 상태 표시 3. 제출 기한: - 일반 과제: 매주 금요일 오후 6시까지 - 주간 미니 프로젝트: 지정된 마감일 오전 9시까지 4. 피드백: - 제출 후 2일 이내 강사/멘토 피드백 제공 - 필요한 경우 수정 후 재제출 가능 과제 관련 질문은 디스코드 채널의 #과제질문 채널을 활용하세요."
"팀 프로젝트는 어떻게 진행되나요?","SK네트웍스 Family AI 캠프의 팀 프로젝트 진행 방식은 다음과 같습니다: 1. 팀 구성: - 4~5인 1조로 구성 - 균형있는 역량 분배를 위해 멘토 주도로 팀 편성 2. 프로젝트 단계: - 1차 미니 프로젝트(3월): 2주간 데이터 분석 주제 - 2차 미니 프로젝트(4월): 3주간 머신러닝 응용 주제 - 최종 프로젝트(5~6월): 4주간 실제 문제 해결 주제 3. 협업 방식: - 기획: Notion을 통한 문서 관리 - 개발: GitHub 팀 레포지토리 활용(Pull Request 방식) - 회의: 주 3회 정기 미팅(화/목/금) 4. 평가 요소: - 코드 구현력 및 문제 해결 능력 - 협업 및 커뮤니케이션 역량 - 발표 및 문서화 능력 프로젝트 결과물은 SK네트웍스 관계자들 앞에서 최종 발표를 진행합니다."
