question,answer
출결/ 출석 처리 방법이 어떻게 돼?,"비콘(Beacon) 인식을 통한
출결체크
*비콘 인식 안 될 경우, 즉시 담당 매니저 & 인포 매니저님께
방문 후 QR코드 확인 요청*
HRD-NET 출석 어플 사전 설치
비콘 인식
기기등록이 안 되어 있을 시, 출석 불가능 (기기는 1대만 가능)
"
출결/출석 처리 기준에 대해 알려줘,"출결 기준
1일 출석 시간이 4시간 미만인 경우 결석 처리
· 지각 : 13시 59분까지 입실 처리 후 18시 퇴실 처리 시 지각으로 인정
              (14시 01분 입실 시 결석)
· 조퇴 : 9시 ~ 13시까지 수강 후 퇴실 처리 시 조퇴로 인정
              (12시 59분 퇴실 시 결석)
지각·조퇴·외출 3회 시, 결석 1회로 처리
(하루에 지각, 조퇴 시 2회 누적)
· 지각 3회 → 결석 1회
· 지각 2회, 조퇴 1회 → 결석 1회
· 조퇴 2회, 외출 1회 → 결석 1회
지각·조퇴·외출·결석 시 매니저에게 사전 공유
· 미리 고지하지 않았을 경우에 발생하는 모든 출결 문제는
   훈련생 본인의 책임입니다."
어떻게 하면 결석처리 돼?,"아래 사항의 경우 결석 처리 됩니다.
외출 전과 복귀 시
반드시 매니저에게 사전 공유 후 
외출처리 진행 
- 매니저에게 사전 공유 없이 외출 시
- 외출 전과 복귀 할 때 HRD-어플 외출/복귀 미처리 시 
- 4시간 이상 외출 시
"
"결석 시 출석 인정을 받는 방법에 대해 알려줘 (병가, 공가, 기타)","아플 때는 증빙 서류 제출 시 병가로 출석 인정 (병가 사용 다음날 증빙서류 제출)
· 병가는 매니저에게 해당일 오전에 꼭! 말해주세요.
· 병가는 전체기간의 10%만 출석으로 인정 가능 (ex.전체기간이 120일이라면, 12일까지 병가로 인정)
· 제출서류 : 병원 진료 확인서 (병원 직인, 수강생 이름, 병명, 날짜 필수 기재)
· 처방전, 병원 직인이 누락된 진료 확인서 등은 출석으로 인정되지 않습니다.
· 본인의 자녀가 아플 때 병가 신청 가능
기타 출석 인정 기준 (증빙서류 필수 제출)
구  분
대  상
일  수
훈련
예비군, 민방위훈련 또는 징병검사를 받는 경우
소요일수
시험
기업의 채용공고에 응하여 필기 또는 면접시험을 
응시하는 경우
소요일수
결혼
본인
5일
사망
배우자, 본인 및 배우자의 부모
5일
본인 및 배우자의 조부모, 외조부모
3일
본인 및 배우자의 형제자매
1일
출산
배우자
5일

"
"데일리 출석 이슈 공유, 지각하거나 오늘 결석할 것 같을 때 어떻게 해?","매일(당일) 아침 8:30~9:30까지 작성 후 제출하는 방식으로 공유
"
입실 및 퇴실 체크는 언제 해야 해?,"휴가 및 공가 제출 매일 14:50
조퇴 : 퇴실 체크
외출 : 입/퇴실 체크
"
팀 프로젝트 조 편성은 어떻게 해?,"학습성취도 평가, 성실도(출결), 협업능력, 학업의지, 문제해결력 등을 
고려하여 강사, 매니저가 구성합니다.
"
수료/미수료 기준이 어떻게 돼?,"ㆍ전체 훈련 일수의 80% 이상 (96일) 이수 시
ㆍ수료 시 플레이데이터 수료증 발급


ㆍ개강 후 1주일 후 수강 취소 시 패널티 발생  (5년 동안 타 과정 수강 불가능)
"
"수료 기준이 뭐야?
","매월 단위기간 충족으로 훈련장려금을 받았더라도 전체 훈련 일수의 80% 이상을 이수하지 않은 경우, 미수료
*수료 기준은 전체 훈련 일수 내 전체 출석률로 계산
- 1개월 단위기간 출석일수 : 20일 중 4회 결석, 2회 지각  → 1개월 단위기간 내 80% 출석하여 훈련장려금 "
미수료 기준에 대해 알려줘,"ㆍ전체 훈련 일수의 20%를 초과하여 결석한 경우
ㆍ단위기간 중 무단결석 일수가 단위기간 소정훈련일수의 50% 이상일 경우
ㆍ부정한 방법으로 출석 처리를 한 경우 (수업 시간 흡연, 편의점 방문 등 외출하였지만 출석으로 체크한 경우)
ㆍ본인 이외 교육생의 출석을 대신하여 처리해준 경우
ㆍ교육생의 수강 태도가 불량하여 해당 과정을 정상적으로 운영할 수 없다고 판단된 경우
ㆍ훈련생이 취업 등의 이유로 수강을 포기한 경우
(전체 훈련기간의 80% 이상 출석 이후 취업했을 경우 수료(조기취업)로 인정)
ㆍ절도, 풍기문란, 폭행 및 폭언 등의 위법 행위를 한 경우
"
중도탈락 패널티 안내,"K-디지털 트레이닝에 참여하는 경우, 계좌 유효기간 중 1회에 한하여 계좌한도를 초과하여 훈련비 전액 지원
(국민내일배움카드의 지원한도 : 계좌 발급일로부터 5년간 300만원)
- 최초 중도탈락 시, 계좌에서 기본 20만원 차감 + 수업에 참여한 일수 만큼 금액 차감
   K-디지털 트레이닝 과정 5년 내 수강 불가"
훈련장려금,"ㆍ단위기간 출석률이 80% 이상인 경우 : 훈련장려금 지급
훈련장려금(116,000원) + KDT특별훈련수당(200,000원) = 316,000원
ㆍ단위기간 출석률이 80% 미만인 경우 : 훈련장려금 미지급
- 펭수님의 단위기간 출석일수 : 20일 중 1회 결석, 2회 지각 → 19일 x 5800원 = 110,200원
- 펭지님의 단위기간 출석일수 : 20일 중 2회 결석, 1회 조퇴, 2회 지각 → 17일 x 5800원 =98,600원
- 펭수님의 단위기간 출석일수 : 20일 중 5회 결석, 2회 지각
   → 15일 (단위기간 출석일수) x 5800원 = 87,000원 (X)
   → 20일 x 80% = 16일 (4일 결석까지만 훈련장려금 지급)"
훈련장려금,"훈련장려금(116,000원) + KDT특별훈련수당(200,000원) = 316,000원
ㆍ실업급여, 청년 수당 등은 훈련장려금과 이중 수급 불가
- 별도로 신청한 분은 훈련장려금과 신청한 것 중 무엇을 수급 받을지 사전에 반드시 확인하시기 바랍니다. 
- 이중 수급 받을 경우 형사처벌 대상이 될 수 있습니다."
"훈련장려금 미지급 케이스
","ㆍ고용형태 ‘재직자’, ‘고용보험 미가입 재직자‘, ‘특수형태근로자(프리랜서)’, ‘영세자영업자’ 인 경우
ㆍ아르바이트 등 근무를 병행하는 분들은 개강 상담 진행 시, 반드시 말씀해주세요.
고용형태 ‘실업자‘ 로 변경해야 훈련비 지급 대상
- 유형별로 고용보험득실확인서, 퇴직증명서, 근로계약서, 폐업증명서 등 발급 요청 예정
- 개강 후 2주 이내 담당 매니저에게 서류 제출 필수
ㆍ고용보험 가입 후 주 15시간 이상 근로하는 경우
- 일용직 근로 일수가(쿠팡, 마켓컬리, 공사업체, 단기 알바 등)이 한 달 내 10일 이상인 경우, 비용 미지급
   → 장려금 단위 기간이 10월 28일 ~ 11월 27일인 경우, 역으로 2달 확인
   → 9월 28일 ~ 11월 27일까지 기간 산정, 해당 기간 내에 한 달 동안 근로 일수가 10일 넘으면 미지급
ㆍ일용직 근로 이력이 한 달 내 10일 이상 인 경우
ㆍ구직목적의 자격증 응시료 지원을 받은 경우
- 구직목적의 자격증 응시지원을 받은 일수 만큼 훈련장려금 비용이 차감되어 지급 (1일 15,800원)
"
국민취업지원제도," 15 ~ 69세 구직자 대상으로 취업지원서비스를 제공하고 구직촉진수당을 지급하는 제도
훈련생 등록이 완료된 이후에 신청하는 것을 권장
국민 취업 지원 제도 상담은 출석 인정 불가
- 정규 수업 시간(9시 ~ 18시) 이후 상담을 해주는 기관 권장
   - 훈련생 등록이 안된 상태에서 국민취업지원제도를 먼저 신청할 경우, 
      훈련생 등록이 늦어져 결석처리가 될 가능성이 있음
      (결석처리가 된 기간은 훈련장려금 수령 불가)
-  취업성공패키지와 다르게 과정 수강 중에도 신청 가능
- 훈련생 등록 완료 여부는 디스코드를 통해 매니저에게 DM으로 문의
"
교육센터 운영시간 및 교육시설 안내,"주말, 공휴일
오픈하지 않습니다.
평일 (월요일 ~ 금요일)
08:30 ~ 21:50 공용 공간 사용 후 반드시 테이블 정리 부탁드립니다.
ㆍ 200여명의 수강생분들이 함께 사용하는 공간입니다. 다른 분들을 배려하여 일정시간 이용 후에는 자리 양보 부탁드립니다.
ㆍ 소지품은 분실되지 않도록 유의하시기 바랍니다. 분실된 소지품에 대해서 본 교육센터에서는 책임지지 않습니다.
공용 공간 사용 안내
흡연 시 주의사항
ㆍ 교육센터 내/외부(강의실, 화장실 등)에서 절대 흡연 금지!
"
노트북 및 장비 사용 안내,"불법 소프트웨어 및 게임 설치를 절대 금합니다.
ㆍ개인용 소프트웨어 설치 및 사용을 절대 금합니다.
  (라이선스 없이 사용 시 불법 사용으로 간주하여 사용한 개인에게 모든 책임을 부과합니다.) ex) 알집
ㆍ파일 저장 시 만약의 상황에 대비하여 별도 저장장치에 업로드하여 이용하시기 바랍니다. 
   파일 소실 시 본 교육센터에서 책임지지 않습니다.
ㆍ노트북은 개인별 일련번호로 관리됩니다. 
   고장(액체류 쏟음 등) 및 파손이 될 경우 바로 사무실로 방문하여 주시기 바라며 항상 사용에 유의하시기 바랍니다.
ㆍ장비에 이상이 있을 시 매니저에게 문의해주시기 바랍니다.
ㆍ노트북, 각종 장비, 강의장 내 모든 비품에 스티커 부착 및 낙서를 절대 금합니다. 
    (특히, 스티커 제발 붙이지 마세요.)
노트북 및 장비 사용 안내
노트북 비밀번호
7276
01
교육과정 안내
 ㆍ교육에 필요한 개인 장비가 없는 분들은 노트북 대여 가능
ㆍMac을 사용하는 경우, 전체 교육이 Window 기반으로 진행되므로 
   환경이 Window와 다른 경우 소프트웨어 설치 등은 교육생 자체 해결
"
SK네트웍스 Family AI 캠프 FAQ 안내,https://playdatacademy.notion.site/G-FAQ-b1ea666d01eb42ab8d5f6f941a64eea0
제적 기준이 뭐야?," 팀 프로젝트, 팀 실습 등에 비협조적이거나, 지각, 결석 등으로 인해 타 교육생에게 피해를 주는 경우 
ㆍ교육생, 강사, 멘토 , 운영진을 포함해 교육과정 관련자들 사이에 갈등을 일으키거나, 불편함을 느끼는 상황을 발행 시키는 경우
ㆍ교육생, 강사, 멘토, 운영진, 훈련기관에 대해 근거없는 비방을 하는 경우
경고 누적 3회시 제적
ㆍ교육기관의 운영 방침에 따르지 않는 경우
경고 및 제적
ㆍ교육과정 중 절도, 폭행, 성적 자율권을 침해하는 행동을 했을 경우 경고 및 제적 조치를 취할 수 있습니다."
블로그 회고 작성 안내,"작성 시기 : 매주 금요일~일요일
 제목 ㅣ SK네트웍스 Family  AI 캠프 N기 1주차 회고
 내용 ㅣ 강의 요약 노트 X 
            강의 내용을 바탕으로 그 주에 배운 것에 대한 회고
         
          *KPT나 4L 형식 추천
           - KPT(Keep, Problem, Try)
           - 4L(Liked, Lacked, Learned, Longed for)
           - 배운 내용, 부족했던 것, 바라는 것 등
Weekly 회고
Monthly 회고
작성 시기 : 매월 말일
  
블로그 회고글 작성 후 SK네트웍스 Family AI 캠프 10기 전용 구글 스프레드시트에 등록하기!"
블로그 회고 작성 예시,"1. 수강 동기(1개월차에만 작성)
2. 1개월 동안 학습한 기술셋 간단하게 정리
3. 전반적인 느낀 점
4. Keep : 좋았던 점을 기반으로 앞으로 계속 유지할 것
5. Problem : 아쉬웠던 점을 기반으로 앞으로 개선할 것
6. Try : 앞으로 새롭게 시도해볼 만한 것"
블로그 회고 우수 사례 안내,https://writing-to-organize.tistory.com/15
"취업 시 협조 요청
","수료 후 6개월 간 취업률 조사 수료 후 6개월 간 코딩 테스트 및 취업 특강 지원
과정 진행 중, 수료 후 취업 시 담당 매니저에게 공유 바랍니다.

"
기타 하면 안되는 것,"결석, 지각, 조퇴, 외출자를 정상 출석으로 처리하는 경우
QR코드 출결 방식을 악용하여 정상 출석으로 처리하는 경우
(QR코드 외부 유출, 스마트폰 두고 외출/조퇴 등)
계획된 내용이 아닌, 다른 내용을 가르치는 경우
지급하기로 한 교재나 실습재료 등을 주지 않는 경우
교과목별 평가를 하지 않고, 평가했다는 응답을 요구하는 경우
훈련교사가 수업 중 (자주 또는 빈번하게) 자리를 비워 수업이 진행되지 않는 경우
배우는 내용이 다르거나, 훈련 중간에 수업 진도가 다른 훈련생들을 임의로 합반하는 경우
훈련기관이 훈련생 ID와 패스워드를 만들어 주거나, 알려달라고 요청하는 경우
타인에 의해서 회차별 학습진도와 평가를 수료하게 된 경우"
